"date","train","way","station","hour","composition","p1q0","p2q0","p3q0","p0q1","p0q2","p0q3"
2019-05-27,"1",0,"AI","06:00:00",2,0.095,0.159,NA,0.235,0.248,0.227
2019-05-29,"1",0,"AI","06:00:00",2,0.108,0.167,NA,0.212,0.223,0.2
2019-06-03,"1",0,"AI","06:00:00",2,0.089,0.171333333333333,NA,0.234,0.248,0.221
2019-06-04,"1",0,"AI","06:00:00",2,0.172,0.163583333333333,NA,0.196,0.206,0.18
2019-06-06,"1",0,"AI","06:00:00",2,0.164,0.174333333333333,NA,0.214,0.225,0.2
2019-06-07,"1",0,"AI","06:00:00",2,0.126,0.156,NA,0.198,0.201,0.19
2019-06-11,"1",0,"AI","06:00:00",2,0.107,0.159,NA,0.228,0.249,0.215
2019-06-12,"1",0,"AI","06:00:00",2,0.103,0.175479166666667,NA,0.214,0.223,0.196
2019-06-13,"1",0,"AI","06:00:00",2,0.148,0.188,NA,0.234,0.238,0.219
2019-06-14,"1",0,"AI","06:00:00",2,0.117,0.155,NA,0.205,0.215,0.195
2019-06-17,"1",0,"AI","06:00:00",2,0.092,0.206,NA,0.226,0.241,0.212
2019-06-18,"1",0,"AI","06:00:00",2,0.189,0.179444444444444,NA,0.236,0.248,0.221
2019-06-20,"1",0,"AI","06:00:00",2,0.106,0.176,NA,0.229,0.239,0.209
2019-06-21,"1",0,"AI","06:00:00",2,0.108,0.161,NA,0.209,0.217,0.197
2019-06-24,"1",0,"AI","06:00:00",2,0.124,0.17,NA,0.201,0.204,0.182
2019-06-25,"1",0,"AI","06:00:00",2,0.093,0.170479166666667,NA,0.219,0.237,0.203
2019-06-27,"1",0,"AI","06:00:00",2,0.124,0.193,NA,0.243,0.241,0.228
2019-06-28,"1",0,"AI","06:00:00",2,0.088,0.161,NA,0.222,0.253,0.201
2019-07-01,"1",0,"AI","06:00:00",2,0.073,0.179729166666667,NA,0.203,0.219,0.189
2019-07-03,"1",0,"AI","06:00:00",2,0.13475,0.188,NA,0.216,0.246,0.199
2019-07-04,"1",0,"AI","06:00:00",2,0.1096,0.176,NA,0.246,0.265,0.227
2019-07-05,"1",0,"AI","06:00:00",2,0.094,0.171901388888889,NA,0.26,0.256,0.242
2019-05-21,"1",0,"AJ","06:00:00",2,0.148,0.22,0.189,0.243,0.277,0.233
2019-05-22,"1",0,"AJ","06:00:00",2,0.144,0.1945,0.1655,0.234,0.261,0.238
2019-05-27,"1",0,"AJ","06:00:00",2,0.136,0.191,0.164,0.235,0.261,0.248
2019-05-29,"1",0,"AJ","06:00:00",2,0.156,0.207,0.174333333333333,0.212,0.253,0.223
2019-06-03,"1",0,"AJ","06:00:00",2,0.136,0.1965,0.163,0.234,0.27,0.248
2019-06-04,"1",0,"AJ","06:00:00",2,0.204,0.158,0.1788,0.196,0.227,0.206
2019-06-06,"1",0,"AJ","06:00:00",2,0.196,0.191833333333333,0.1636,0.214,0.256,0.225
2019-06-07,"1",0,"AJ","06:00:00",2,0.163,0.187,0.159,0.198,0.214,0.201
2019-06-11,"1",0,"AJ","06:00:00",2,0.17,0.18,0.185,0.228,0.281,0.249
2019-06-12,"1",0,"AJ","06:00:00",2,0.152,0.21025,0.183,0.214,0.235,0.223
2019-06-13,"1",0,"AJ","06:00:00",2,0.187,0.235,0.213,0.234,0.278,0.238
2019-06-14,"1",0,"AJ","06:00:00",2,0.161,0.198,0.166,0.205,0.237,0.215
2019-06-17,"1",0,"AJ","06:00:00",2,0.125,0.258,0.194,0.226,0.287,0.241
2019-06-18,"1",0,"AJ","06:00:00",2,0.213,0.176,0.1674,0.236,0.28,0.248
2019-06-20,"1",0,"AJ","06:00:00",2,0.177,0.214,0.191,0.229,0.296,0.239
2019-06-21,"1",0,"AJ","06:00:00",2,0.171,0.195,0.1661,0.209,0.234,0.217
2019-06-24,"1",0,"AJ","06:00:00",2,0.151,0.227,0.172,0.201,0.235,0.204
2019-06-25,"1",0,"AJ","06:00:00",2,0.153,0.1976,0.17,0.219,0.258,0.237
2019-06-27,"1",0,"AJ","06:00:00",2,0.207,0.188,0.17736,0.243,0.285,0.241
2019-06-28,"1",0,"AJ","06:00:00",2,0.139,0.188,0.166,0.222,0.278,0.253
2019-07-01,"1",0,"AJ","06:00:00",2,0.125,0.20975,0.157,0.203,0.228,0.219
2019-07-03,"1",0,"AJ","06:00:00",2,0.1542,0.237,0.165,0.216,0.302,0.246
2019-07-04,"1",0,"AJ","06:00:00",2,0.1624,0.202,0.164,0.246,0.294,0.265
2019-07-05,"1",0,"AJ","06:00:00",2,0.164,0.20335,0.168,0.26,0.268,0.256
2019-05-21,"1",0,"AK","06:00:00",2,0.051,0.167,NA,0.243,0.226,0.165
2019-05-22,"1",0,"AK","06:00:00",2,0.044,0.1455,NA,0.234,0.221,0.159
2019-05-27,"1",0,"AK","06:00:00",2,0.047,0.139,NA,0.235,0.227,0.175
2019-05-29,"1",0,"AK","06:00:00",2,0.049,0.155,NA,0.212,0.2,0.148
2019-06-03,"1",0,"AK","06:00:00",2,0.053,0.1455,NA,0.234,0.221,0.169
2019-06-04,"1",0,"AK","06:00:00",2,0.158,0.1535,NA,0.196,0.18,0.141
2019-06-06,"1",0,"AK","06:00:00",2,0.148,0.140166666666667,NA,0.214,0.2,0.137
2019-06-07,"1",0,"AK","06:00:00",2,0.054,0.137,NA,0.198,0.19,0.132
2019-06-11,"1",0,"AK","06:00:00",2,0.059,0.144,NA,0.228,0.215,0.161
2019-06-12,"1",0,"AK","06:00:00",2,0.043,0.153166666666667,NA,0.214,0.196,0.136
2019-06-13,"1",0,"AK","06:00:00",2,0.073,0.172,NA,0.234,0.219,0.162
2019-06-14,"1",0,"AK","06:00:00",2,0.047,0.143,NA,0.205,0.195,0.147
2019-06-17,"1",0,"AK","06:00:00",2,0.043,0.185,NA,0.226,0.212,0.156
2019-06-18,"1",0,"AK","06:00:00",2,0.159,0.144055555555556,NA,0.236,0.221,0.153
2019-06-20,"1",0,"AK","06:00:00",2,0.048,0.149,NA,0.229,0.209,0.155
2019-06-21,"1",0,"AK","06:00:00",2,0.047,0.148,NA,0.209,0.197,0.154
2019-06-24,"1",0,"AK","06:00:00",2,0.054,0.154,NA,0.201,0.182,0.134
2019-06-25,"1",0,"AK","06:00:00",2,0.039,0.159055555555556,NA,0.219,0.203,0.15
2019-06-27,"1",0,"AK","06:00:00",2,0.053,0.18,NA,0.243,0.228,0.163
2019-06-28,"1",0,"AK","06:00:00",2,0.035,0.136,NA,0.222,0.201,0.143
2019-07-01,"1",0,"AK","06:00:00",2,0.036,0.153166666666667,NA,0.203,0.189,0.132
2019-07-03,"1",0,"AK","06:00:00",2,0.0485,0.149,NA,0.216,0.199,0.138
2019-07-04,"1",0,"AK","06:00:00",2,0.0468,0.14,NA,0.246,0.227,0.153
2019-07-05,"1",0,"AK","06:00:00",2,0.028,0.145677777777778,NA,0.26,0.242,0.166
2019-05-21,"1",0,"AM","06:00:00",2,NA,NA,NA,0.165,0.128,0.112
2019-05-22,"1",0,"AM","06:00:00",2,NA,NA,NA,0.159,0.114,0.099
2019-05-27,"1",0,"AM","06:00:00",2,NA,NA,NA,0.175,0.133,0.124
2019-05-29,"1",0,"AM","06:00:00",2,NA,NA,NA,0.148,0.105,0.093
2019-06-03,"1",0,"AM","06:00:00",2,NA,NA,NA,0.169,0.126,0.114
2019-06-04,"1",0,"AM","06:00:00",2,NA,NA,NA,0.141,0.101,0.088
2019-06-06,"1",0,"AM","06:00:00",2,NA,NA,NA,0.137,0.095,0.088
2019-06-07,"1",0,"AM","06:00:00",2,NA,NA,NA,0.132,0.089,0.084
2019-06-11,"1",0,"AM","06:00:00",2,NA,NA,NA,0.161,0.122,0.106
2019-06-12,"1",0,"AM","06:00:00",2,NA,NA,NA,0.136,0.104,0.097
2019-06-13,"1",0,"AM","06:00:00",2,NA,NA,NA,0.162,0.113,0.099
2019-06-14,"1",0,"AM","06:00:00",2,NA,NA,NA,0.147,0.104,0.091
2019-06-17,"1",0,"AM","06:00:00",2,NA,NA,NA,0.156,0.113,0.1
2019-06-18,"1",0,"AM","06:00:00",2,NA,NA,NA,0.153,0.104,0.096
2019-06-20,"1",0,"AM","06:00:00",2,NA,NA,NA,0.155,0.108,0.1
2019-06-21,"1",0,"AM","06:00:00",2,NA,NA,NA,0.154,0.119,0.111
2019-06-24,"1",0,"AM","06:00:00",2,NA,NA,NA,0.134,0.098,0.084
2019-06-25,"1",0,"AM","06:00:00",2,NA,NA,NA,0.15,0.114,0.102
2019-06-27,"1",0,"AM","06:00:00",2,NA,NA,NA,0.163,0.11,0.104
2019-06-28,"1",0,"AM","06:00:00",2,NA,NA,NA,0.143,0.102,0.093
2019-07-01,"1",0,"AM","06:00:00",2,NA,NA,NA,0.132,0.096,0.088
2019-07-03,"1",0,"AM","06:00:00",2,NA,NA,NA,0.138,0.096,0.084
2019-07-04,"1",0,"AM","06:00:00",2,NA,NA,NA,0.153,0.11,0.098
2019-07-05,"1",0,"AM","06:00:00",2,NA,NA,NA,0.166,0.115,0.107
2019-05-21,"1",0,"AT","06:00:00",2,NA,NA,NA,0.128,0.085,0.112
2019-05-22,"1",0,"AT","06:00:00",2,NA,NA,NA,0.114,0.075,0.099
2019-05-27,"1",0,"AT","06:00:00",2,NA,NA,NA,0.133,0.108,0.124
2019-05-29,"1",0,"AT","06:00:00",2,NA,NA,NA,0.105,0.074,0.093
2019-06-03,"1",0,"AT","06:00:00",2,NA,NA,NA,0.126,0.094,0.114
2019-06-04,"1",0,"AT","06:00:00",2,NA,NA,NA,0.101,0.072,0.088
2019-06-06,"1",0,"AT","06:00:00",2,NA,NA,NA,0.095,0.069,0.088
2019-06-07,"1",0,"AT","06:00:00",2,NA,NA,NA,0.089,0.062,0.084
2019-06-11,"1",0,"AT","06:00:00",2,NA,NA,NA,0.122,0.086,0.106
2019-06-12,"1",0,"AT","06:00:00",2,NA,NA,NA,0.104,0.068,0.097
2019-06-13,"1",0,"AT","06:00:00",2,NA,NA,NA,0.113,0.076,0.099
2019-06-14,"1",0,"AT","06:00:00",2,NA,NA,NA,0.104,0.071,0.091
2019-06-17,"1",0,"AT","06:00:00",2,NA,NA,NA,0.113,0.086,0.1
2019-06-18,"1",0,"AT","06:00:00",2,NA,NA,NA,0.104,0.077,0.096
2019-06-20,"1",0,"AT","06:00:00",2,NA,NA,NA,0.108,0.088,0.1
2019-06-21,"1",0,"AT","06:00:00",2,NA,NA,NA,0.119,0.095,0.111
2019-06-24,"1",0,"AT","06:00:00",2,NA,NA,NA,0.098,0.07,0.084
2019-06-25,"1",0,"AT","06:00:00",2,NA,NA,NA,0.114,0.084,0.102
2019-06-27,"1",0,"AT","06:00:00",2,NA,NA,NA,0.11,0.085,0.104
2019-06-28,"1",0,"AT","06:00:00",2,NA,NA,NA,0.102,0.078,0.093
2019-07-01,"1",0,"AT","06:00:00",2,NA,NA,NA,0.096,0.069,0.088
2019-07-03,"1",0,"AT","06:00:00",2,NA,NA,NA,0.096,0.06,0.084
2019-07-04,"1",0,"AT","06:00:00",2,NA,NA,NA,0.11,0.085,0.098
2019-07-05,"1",0,"AT","06:00:00",2,NA,NA,NA,0.115,0.087,0.107
2019-05-21,"1",0,"AW","06:00:00",2,NA,NA,NA,0.055,0.085,0.112
2019-05-22,"1",0,"AW","06:00:00",2,NA,NA,NA,0.054,0.075,0.099
2019-05-27,"1",0,"AW","06:00:00",2,NA,NA,NA,0.086,0.108,0.124
2019-05-29,"1",0,"AW","06:00:00",2,NA,NA,NA,0.056,0.074,0.093
2019-06-03,"1",0,"AW","06:00:00",2,NA,NA,NA,0.069,0.094,0.114
2019-06-04,"1",0,"AW","06:00:00",2,NA,NA,NA,0.046,0.072,0.088
2019-06-06,"1",0,"AW","06:00:00",2,NA,NA,NA,0.05,0.069,0.088
2019-06-07,"1",0,"AW","06:00:00",2,NA,NA,NA,0.047,0.062,0.084
2019-06-11,"1",0,"AW","06:00:00",2,NA,NA,NA,0.063,0.086,0.106
2019-06-12,"1",0,"AW","06:00:00",2,NA,NA,NA,0.045,0.068,0.097
2019-06-13,"1",0,"AW","06:00:00",2,NA,NA,NA,0.055,0.076,0.099
2019-06-14,"1",0,"AW","06:00:00",2,NA,NA,NA,0.047,0.071,0.091
2019-06-17,"1",0,"AW","06:00:00",2,NA,NA,NA,0.062,0.086,0.1
2019-06-18,"1",0,"AW","06:00:00",2,NA,NA,NA,0.05,0.077,0.096
2019-06-20,"1",0,"AW","06:00:00",2,NA,NA,NA,0.073,0.088,0.1
2019-06-21,"1",0,"AW","06:00:00",2,NA,NA,NA,0.074,0.095,0.111
2019-06-24,"1",0,"AW","06:00:00",2,NA,NA,NA,0.044,0.07,0.084
2019-06-25,"1",0,"AW","06:00:00",2,NA,NA,NA,0.066,0.084,0.102
2019-06-27,"1",0,"AW","06:00:00",2,NA,NA,NA,0.06,0.085,0.104
2019-06-28,"1",0,"AW","06:00:00",2,NA,NA,NA,0.049,0.078,0.093
2019-07-01,"1",0,"AW","06:00:00",2,NA,NA,NA,0.037,0.069,0.088
2019-07-03,"1",0,"AW","06:00:00",2,NA,NA,NA,0.039,0.06,0.084
2019-07-04,"1",0,"AW","06:00:00",2,NA,NA,NA,0.061,0.085,0.098
2019-07-05,"1",0,"AW","06:00:00",2,NA,NA,NA,0.065,0.087,0.107
2019-05-21,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-05-22,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-05-27,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-05-29,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-06-03,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-06-04,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-06-06,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-06-07,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-06-11,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-06-12,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-06-13,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-06-14,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-06-17,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-06-18,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-06-20,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-06-21,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-06-24,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-06-25,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-06-27,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-06-28,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-07-01,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-07-03,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-07-04,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-07-05,"1",0,"AX",NA,2,NA,NA,NA,NA,NA,NA
2019-05-21,"1",0,"BB","06:00:00",2,0.175,0.222,NA,0.277,0.277,0.233
2019-05-22,"1",0,"BB","06:00:00",2,0.165,0.18125,NA,0.261,0.275,0.238
2019-05-27,"1",0,"BB","06:00:00",2,0.164,0.195,NA,0.261,0.245,0.248
2019-05-29,"1",0,"BB","06:00:00",2,0.17,0.1908,NA,0.253,0.26,0.223
2019-06-03,"1",0,"BB","06:00:00",2,0.148,0.187,NA,0.27,0.263,0.248
2019-06-04,"1",0,"BB","06:00:00",2,0.163,0.199,NA,0.227,0.239,0.206
2019-06-06,"1",0,"BB","06:00:00",2,0.19,0.1935,NA,0.256,0.26,0.225
2019-06-07,"1",0,"BB","06:00:00",2,0.171,0.188,NA,0.214,0.222,0.201
2019-06-11,"1",0,"BB","06:00:00",2,0.191,0.229,NA,0.281,0.278,0.249
2019-06-12,"1",0,"BB","06:00:00",2,0.161,0.201,NA,0.235,0.242,0.223
2019-06-13,"1",0,"BB","06:00:00",2,0.18,0.243,NA,0.278,0.281,0.238
2019-06-14,"1",0,"BB","06:00:00",2,0.171,0.206,NA,0.237,0.246,0.215
2019-06-17,"1",0,"BB","06:00:00",2,0.149,0.238,NA,0.287,0.284,0.241
2019-06-18,"1",0,"BB","06:00:00",2,0.193,0.1926,NA,0.28,0.272,0.248
2019-06-20,"1",0,"BB","06:00:00",2,0.191,0.22,NA,0.296,0.288,0.239
2019-06-21,"1",0,"BB","06:00:00",2,0.185,0.2008,NA,0.234,0.261,0.217
2019-06-24,"1",0,"BB","06:00:00",2,0.166,0.187,NA,0.235,0.243,0.204
2019-06-25,"1",0,"BB","06:00:00",2,0.161,0.182,NA,0.258,0.255,0.237
2019-06-27,"1",0,"BB","06:00:00",2,0.248,0.1924,NA,0.285,0.292,0.241
2019-06-28,"1",0,"BB","06:00:00",2,0.15,0.187,NA,0.278,0.289,0.253
2019-07-01,"1",0,"BB","06:00:00",2,0.145,0.17,NA,0.228,0.226,0.219
2019-07-03,"1",0,"BB","06:00:00",2,0.1612,0.18,NA,0.302,0.303,0.246
2019-07-04,"1",0,"BB","06:00:00",2,0.1612,0.179,NA,0.294,0.293,0.265
2019-07-05,"1",0,"BB","06:00:00",2,0.206,0.172,NA,0.268,0.265,0.256
2019-05-21,"1",0,"BD","06:00:00",2,NA,NA,NA,0.055,NA,NA
2019-05-22,"1",0,"BD","06:00:00",2,NA,NA,NA,0.054,NA,NA
2019-05-27,"1",0,"BD","06:00:00",2,NA,NA,NA,0.086,NA,NA
2019-05-29,"1",0,"BD","06:00:00",2,NA,NA,NA,0.056,NA,NA
2019-06-03,"1",0,"BD","06:00:00",2,NA,NA,NA,0.069,NA,NA
2019-06-04,"1",0,"BD","06:00:00",2,NA,NA,NA,0.046,NA,NA
2019-06-06,"1",0,"BD","06:00:00",2,NA,NA,NA,0.05,NA,NA
2019-06-07,"1",0,"BD","06:00:00",2,NA,NA,NA,0.047,NA,NA
2019-06-11,"1",0,"BD","06:00:00",2,NA,NA,NA,0.063,NA,NA
2019-06-12,"1",0,"BD","06:00:00",2,NA,NA,NA,0.045,NA,NA
2019-06-13,"1",0,"BD","06:00:00",2,NA,NA,NA,0.055,NA,NA
2019-06-14,"1",0,"BD","06:00:00",2,NA,NA,NA,0.047,NA,NA
2019-06-17,"1",0,"BD","06:00:00",2,NA,NA,NA,0.062,NA,NA
2019-06-18,"1",0,"BD","06:00:00",2,NA,NA,NA,0.05,NA,NA
2019-06-20,"1",0,"BD","06:00:00",2,NA,NA,NA,0.073,NA,NA
2019-06-21,"1",0,"BD","06:00:00",2,NA,NA,NA,0.074,NA,NA
2019-06-24,"1",0,"BD","06:00:00",2,NA,NA,NA,0.044,NA,NA
2019-06-25,"1",0,"BD","06:00:00",2,NA,NA,NA,0.066,NA,NA
2019-06-27,"1",0,"BD","06:00:00",2,NA,NA,NA,0.06,NA,NA
2019-06-28,"1",0,"BD","06:00:00",2,NA,NA,NA,0.049,NA,NA
2019-07-01,"1",0,"BD","06:00:00",2,NA,NA,NA,0.037,NA,NA
2019-07-03,"1",0,"BD","06:00:00",2,NA,NA,NA,0.039,NA,NA
2019-07-04,"1",0,"BD","06:00:00",2,NA,NA,NA,0.061,NA,NA
2019-07-05,"1",0,"BD","06:00:00",2,NA,NA,NA,0.065,NA,NA
2019-05-21,"1",0,"BE","06:00:00",2,NA,NA,NA,0.055,0.085,NA
2019-05-22,"1",0,"BE","06:00:00",2,NA,NA,NA,0.054,0.075,NA
2019-05-27,"1",0,"BE","06:00:00",2,NA,NA,NA,0.086,0.108,NA
2019-05-29,"1",0,"BE","06:00:00",2,NA,NA,NA,0.056,0.074,NA
2019-06-03,"1",0,"BE","06:00:00",2,NA,NA,NA,0.069,0.094,NA
2019-06-04,"1",0,"BE","06:00:00",2,NA,NA,NA,0.046,0.072,NA
2019-06-06,"1",0,"BE","06:00:00",2,NA,NA,NA,0.05,0.069,NA
2019-06-07,"1",0,"BE","06:00:00",2,NA,NA,NA,0.047,0.062,NA
2019-06-11,"1",0,"BE","06:00:00",2,NA,NA,NA,0.063,0.086,NA
2019-06-12,"1",0,"BE","06:00:00",2,NA,NA,NA,0.045,0.068,NA
2019-06-13,"1",0,"BE","06:00:00",2,NA,NA,NA,0.055,0.076,NA
2019-06-14,"1",0,"BE","06:00:00",2,NA,NA,NA,0.047,0.071,NA
2019-06-17,"1",0,"BE","06:00:00",2,NA,NA,NA,0.062,0.086,NA
2019-06-18,"1",0,"BE","06:00:00",2,NA,NA,NA,0.05,0.077,NA
2019-06-20,"1",0,"BE","06:00:00",2,NA,NA,NA,0.073,0.088,NA
2019-06-21,"1",0,"BE","06:00:00",2,NA,NA,NA,0.074,0.095,NA
2019-06-24,"1",0,"BE","06:00:00",2,NA,NA,NA,0.044,0.07,NA
2019-06-25,"1",0,"BE","06:00:00",2,NA,NA,NA,0.066,0.084,NA
2019-06-27,"1",0,"BE","06:00:00",2,NA,NA,NA,0.06,0.085,NA
2019-06-28,"1",0,"BE","06:00:00",2,NA,NA,NA,0.049,0.078,NA
2019-07-01,"1",0,"BE","06:00:00",2,NA,NA,NA,0.037,0.069,NA
2019-07-03,"1",0,"BE","06:00:00",2,NA,NA,NA,0.039,0.06,NA
2019-07-04,"1",0,"BE","06:00:00",2,NA,NA,NA,0.061,0.085,NA
2019-07-05,"1",0,"BE","06:00:00",2,NA,NA,NA,0.065,0.087,NA
2019-05-22,"10",0,"AD","08:00:00",2,0.53,0.414,0.443,0.383,0.252,0.21
2019-05-23,"10",0,"AD","09:00:00",2,0.407,0.423,0.315,0.267,0.224,0.196
2019-05-27,"10",0,"AD","08:00:00",2,0.406,0.407,0.37775,0.354,0.225,0.157
2019-05-29,"10",0,"AD","09:00:00",2,0.358,0.37,0.272,0.313,0.21,0.133
2019-06-03,"10",0,"AD","09:00:00",2,0.45175,0.399,0.323,0.288,0.201,0.157
2019-06-04,"10",0,"AD","08:00:00",2,0.4432,0.498,0.3794375,0.229,0.15,0.11
2019-06-06,"10",0,"AD","08:00:00",2,0.51,0.401,0.406,0.281,0.183,0.137
2019-06-07,"10",0,"AD","08:00:00",2,0.44524,0.344,0.35,0.291,0.191,0.138
2019-06-13,"10",0,"AD","08:00:00",2,0.403,0.438,0.392,0.284,0.195,0.138
2019-06-14,"10",0,"AD","08:00:00",2,0.392,0.394,0.369,0.258,0.177,0.133
2019-06-17,"10",0,"AD","08:00:00",2,0.403,0.425,0.3929375,0.248,0.178,0.142
2019-06-18,"10",0,"AD","09:00:00",2,0.521,0.476,0.384,0.381,0.257,0.151
2019-06-19,"10",0,"AD","08:00:00",2,0.387,0.4088,0.317,0.27,0.197,0.138
2019-06-20,"10",0,"AD","08:00:00",2,0.345,0.432,0.343,0.291,0.198,0.137
2019-06-21,"10",0,"AD","08:00:00",2,0.349,0.334,0.349,0.271,0.196,0.138
2019-06-24,"10",0,"AD","09:00:00",2,0.361,0.437,0.403,0.246,0.171,0.119
2019-06-25,"10",0,"AD","08:00:00",2,0.407,0.362,0.3980375,0.253,0.174,0.133
2019-06-26,"10",0,"AD","08:00:00",2,0.368,0.396,0.281,0.234,0.155,0.111
2019-06-27,"10",0,"AD","09:00:00",2,0.484,0.355,0.367,0.301,0.203,0.144
2019-06-28,"10",0,"AD","08:00:00",2,0.371,0.452,0.331,0.251,0.179,0.126
2019-07-01,"10",0,"AD","08:00:00",2,0.376,0.427,0.3890875,0.3,0.194,0.139
2019-07-02,"10",0,"AD","08:00:00",2,0.427,0.401,0.338,0.273,0.178,0.132
2019-07-03,"10",0,"AD","08:00:00",2,0.395,0.286,0.3936875,0.274,0.184,0.142
2019-07-04,"10",0,"AD","08:00:00",2,0.412,0.418,0.346,0.298,0.201,0.132
2019-07-05,"10",0,"AD","08:00:00",2,0.364,0.371,0.313,0.328,0.21,0.156
2019-05-28,"10",0,"AD","08:00:00",2,0.445,0.405,0.409,0.421,0.291,0.235
2019-06-05,"10",0,"AD","08:00:00",2,0.419,0.345,0.275,0.268,0.179,0.122
2019-05-22,"10",0,"AI","09:00:00",2,0.479,0.268,0.385666666666667,0.399,0.335,0.383
2019-05-23,"10",0,"AI","09:00:00",2,0.784,0.354,0.3088,0.28,0.235,0.267
2019-05-27,"10",0,"AI","09:00:00",2,0.483,0.2908,0.30445,0.382,0.368,0.354
2019-05-29,"10",0,"AI","09:00:00",2,0.381,0.285,0.272,0.346,0.323,0.313
2019-06-03,"10",0,"AI","09:00:00",2,0.501,0.22,0.351,0.303,0.296,0.288
2019-06-04,"10",0,"AI","09:00:00",2,0.4568,0.231,0.398,0.238,0.242,0.229
2019-06-06,"10",0,"AI","09:00:00",2,0.483,0.456,0.33825,0.298,0.361,0.281
2019-06-07,"10",0,"AI","09:00:00",2,0.427,0.236,0.29,0.308,0.317,0.291
2019-06-13,"10",0,"AI","09:00:00",2,0.461,0.325,0.386,0.311,0.322,0.284
2019-06-14,"10",0,"AI","09:00:00",2,0.48,0.239,0.37,0.285,0.277,0.258
2019-06-17,"10",0,"AI","09:00:00",2,0.245,0.348,0.386023333333333,0.273,0.259,0.248
2019-06-18,"10",0,"AI","09:00:00",2,0.499,0.279,0.358,0.427,0.362,0.381
