"","p0q0"
"360",0.835
"361",0.144
"362",0.193
"363",0.897
"364",0.308
"365",0.363
"366",0.784
"367",0.193
"368",0.018
"369",0.407
"370",0.483
"371",0.422
"372",0.343
"373",0.866
"374",0.455
"375",0.534
"376",0.964
"377",0.775
"378",0.209
"379",0.309
"380",0.971
"381",0.585
"382",0.761
"383",0.373
"384",0.769
"385",0.538
"386",0.914
"387",0.185
"388",0.282
"389",0.095
"390",0.21
"391",0.977
"392",0.296
"393",0.726
"394",0.786
"395",0.105
"396",0.24
"397",0.271
"398",0.101
"399",0.118
"400",0.991
"401",0.986
"402",0.137
"403",0.905
"404",0.576
"405",0.395
"406",0.45
"407",0.707
"408",0.083
"409",0.339
"410",0.681
"411",0.317
"412",0.832
"413",0.215
"414",0.498
"415",0.276
"416",0.192
"417",0.951
"418",0.322
"419",0.478
"420",0.028
"421",0.547
"422",0.644
"423",0.596
"424",0.322
"425",0.891
"426",0.626
"427",0.303
"428",0.388
"429",0.16
"430",0.863
"431",0.953
"432",0.564
"433",0.33
"434",0.997
"435",0.235
"436",0.613
"437",0.108
"438",0.487
"439",0.099
"440",0.161
"441",0.283
"442",0.584
"443",0.732
"444",0.166
"445",0.866
"446",0.709
"447",0.76
"448",0.147
"449",0.358
"450",0.673
"451",0.524
"452",0.35
"453",0.241
"454",0.058
"455",0.237
"456",0.89
"457",0.812
"458",0.748
"459",0.155
"460",0.125
"461",0.975
"462",0.436
"463",0.464
"464",0.165
"465",0.585
"466",0.271
"467",0.23
"468",0.691
"469",0.283
"470",0.81
"471",0.094
"472",0.822
"473",0.427
"474",0.756
"475",0.662
"476",0.445
"477",0.627
"478",0
"479",0.217
"480",0.705
"481",0.215
"482",0.814
"483",0.308
"484",0.688
"485",0.933
"486",0.116
"487",0.128
"488",0.678
"489",0.429
"490",0.834
"491",0.971
"492",0.07
"493",0.46
"494",0.702
"495",0.087
"496",0.993
"497",0.253
"498",0.05
"499",0.686
"500",0.787
"501",0.354
"502",0.366
"503",0.287
"504",0.08
"505",0.365
"506",0.178
"507",0.536
"508",0.504
"509",0.945
"510",0.341
"511",0.465
"512",0.083
"513",0.86
"514",0.396
"515",0.736
"516",0.172
"517",0.455
"518",0.77
"519",0.063
"520",0.815
"521",0.301
"522",0.365
"523",0.312
"524",0.037
"525",0.519
"526",0.679
"527",0.903
"528",0.026
"529",0.989
"530",0.303
"531",0.939
"532",0.688
"533",0.447
"534",0.816
"535",0.039
"536",0.739
"537",0.349
"538",0.829
"539",0.536
"540",0.275
"541",0.801
"542",0.092
"543",0.832
"544",0.277
"545",0.753
"546",0.964
"547",0.081
"548",0.854
"549",0.802
"550",0.385
"551",0.328
"552",0.205
"553",0.569
"554",0.888
"555",0.53
"556",0.587
"557",0.666
"558",0.53
"559",0.51
"560",0.016
"561",0.048
"562",0.929
"563",0.769
"564",0.201
"565",0.65
"566",0.654
"567",0.395
"568",0.812
"569",0.547
"570",0.885
"571",0.553
"572",0.906
"573",0.587
"574",0.423
"575",0.95
"576",0.709
"577",0.413
"578",0.018
"579",0.567
"580",0.49
"581",0.879
"582",0.813
"583",0.854
"584",0.368
"585",0.874
"586",0.151
"587",0.282
"588",0.667
"589",0.977
"590",0.583
"591",0.527
"592",0.061
"593",0.969
"594",0.12
"595",0.088
"596",0.881
"597",0.508
"598",0.337
"599",0.894
"600",0.032
"601",0.237
"602",0.686
"603",0.226
"604",0.318
"605",0.174
"606",0.801
"607",0.146
"608",0.823
"609",0.331
"610",0.374
"611",0.63
"612",0.097
"613",0.022
"614",0.993
"615",0.584
"616",0.782
"617",0.892
"618",0.755
"619",0.979
"620",0.044
"621",0.903
"622",0.866
"623",0.775
"624",0.377
"625",0.042
"626",0.364
"627",0.274
"628",0.85
"629",0.362
"630",0.304
"631",0.759
"632",0.845
"633",0.458
"634",0.73
"635",0.104
"636",0.22
"637",0.954
"638",0.752
"639",0.819
"640",0.418
"641",0.594
"642",0.799
"643",0.888
"644",0.385
"645",0.09
"646",0.626
"647",0.746
"648",0.085
"649",0.301
"650",0.615
"651",0.753
"652",0.917
"653",0.476
"654",0.567
"655",0.737
"656",0.857
"657",0.909
"658",0.056
"659",0.503
"660",0.351
"661",0.846
"662",0.806
"663",0.117
"664",0.713
"665",0.235
"666",0.075
"667",0.936
"668",0.157
"669",0.647
"670",0.174
"671",0.02
"672",0.521
"673",0.086
"674",0.283
"675",0.42
"676",0.587
"677",0.807
"678",0.202
"679",0.459
"680",0.448
"681",0.734
"682",0.715
"683",0.831
"684",0.887
"685",0.953
"686",0.551
"687",0.522
"688",0.171
"689",0.479
"690",0.254
"691",0.04
"692",0.635
"693",0.54
"694",0.14
"695",0.284
"696",0.583
"697",0.165
"698",0.096
"699",0.429
"700",0.356
"701",0.845
"702",0.26
"703",0.023
"704",0.862
"705",0.335
"706",0.632
"707",0.546
"708",0.376
"709",0.186
"710",0.429
"711",0.631
"712",0.521
"713",0.66
"714",0.729
"715",0.487
"716",0.384
"717",0.007
"718",0.004
"719",0.995
"720",0.108
"721",0.419
"722",0.718
"723",0.743
"724",0.872
"725",0.608
"726",0.756
"727",0.847
"728",0.613
"729",0.793
"730",0.023
"731",0.417
"732",0.875
"733",0.647
"734",0.924
"735",0.172
"736",0.316
"737",0.804
"738",0.989
"739",0.322
"740",0.001
"741",0.992
"742",0.148
"743",0.049
"744",0.597
"745",0.321
"746",0.528
"747",0.795
"748",0.069
"749",0.695
"750",0.949
"751",0.278
"752",0.249
"753",0.159
"754",0.072
"755",0.557
"756",0.49
"757",0.494
"758",0.888
"759",0.037
"760",0.204
"761",0.514
"762",0.236
"763",0.575
"764",0.482
"765",0.569
"766",0.144
"767",0.146
"768",0.412
"769",0.683
"770",0.653
"771",0.916
"772",0.813
"773",0.676
"774",0.807
"775",0.128
"776",0.251
"777",0.332
"778",0.407
"779",0.635
"780",0.809
"781",0.259
"782",0.819
"783",0.015
"784",0.654
"785",0.812
"786",0.461
"787",0.203
"788",0.019
"789",0.283
"790",0.915
"791",0.934
"792",0.543
"793",0.219
"794",0.489
"795",0.801
"796",0.408
"797",0.104
"798",0.281
"799",0.361
"800",0.259
"801",0.471
"802",0.366
"803",0.121
"804",0.047
"805",0.263
"806",0.969
"807",0.488
"808",0.478
"809",0.749
"810",0.668
"811",0.049
"812",0.695
"813",0.363
"814",0.884
"815",0.775
"816",0.139
"817",0.295
"818",0.126
"819",0.59
"820",0.562
"821",0.689
"822",0.311
"823",0.606
"824",0.991
"825",0.743
"826",0.076
"827",0.451
"828",0.054
"829",0.34
"830",0.734
"831",0.004
"832",0.772
"833",0.463
"834",0.721
"835",0.667
"836",0.572
"837",0.704
"838",0.657
"839",0.289
"840",0.097
"841",0.962
"842",0.736
"843",0.613
"844",0.12
"845",0.55
"846",0.263
"847",0.898
"848",0.009
"849",0.236
"850",0.13
"851",0.326
"852",0.726
"853",0.992
"854",0.715
"855",0.504
"856",0.436
"857",0.949
"858",0.12
"859",0.075
"860",0.889
"861",0.424
"862",0.042
"863",0.647
"864",0.469
"865",0.618
"866",0.271
"867",0.157
"868",0.114
"869",0.508
"870",0.548
"871",0.141
"872",0.17
"873",0.762
"874",0.527
"875",0.861
"876",0.674
"877",0.013
"878",0.693
"879",0.892
"880",0.632
"881",0.107
"882",0.921
"883",0.675
"884",0.149
"885",0.745
"886",0.943
"887",0.421
"888",0.298
"889",0.259
"890",0.223
"891",0.566
"892",0.757
"893",0.67
"894",0.547
"895",0.811
"896",0.759
"897",0.02
"898",0.381
"899",0.051
"900",0.798
"901",0.924
"902",0.543
"903",0.852
"904",0.584
"905",0.668
"906",0.511
"907",0.763
"908",0.903
"909",0.82
"910",0.071
"911",0.004
"912",0.052
"913",0.867
"914",0.576
"915",0.314
"916",0.959
"917",0.591
"918",0.531
"919",0.384
"920",0.32
"921",0.808
"922",0.042
"923",0.364
"924",0.857
"925",0.698
"926",0.684
"927",0.348
"928",0.555
"929",0.137
"930",0.785
"931",0.887
"932",0.204
"933",0.771
"934",0.596
"935",0.958
"936",0.159
"937",0.526
"938",0.873
"939",0.87
"940",0.024
"941",0.976
"942",0.49
"943",0.389
"944",0.418
"945",0.093
"946",0.162
"947",0.405
"948",0.342
"949",0.415
"950",0.304
"951",0.56
"952",0.156
"953",0.957
"954",0.044
"955",0.372
"956",0.963
"957",0.645
"958",0.061
"959",0.41
"960",0.426
"961",0.508
"962",0.45
"963",0.623
"964",0.14
"965",0.908
"966",0.569
"967",0.548
"968",0.117
"969",0.762
"970",0.478
"971",0.782
"972",0.046
"973",0.82
"974",0.269
"975",0.283
"976",0.643
"977",0.948
"978",0.007
"979",0.352
"980",0.419
"981",0.458
"982",0.712
"983",0.92
"984",0.627
"985",0.902
"986",0.757
"987",0.138
"988",0.153
"989",0.191
"990",0.433
"991",0.087
"992",0.224
"993",0.572
"994",0.4
"995",0.565
"996",0.83
"997",0.642
"998",0.391
"999",0.71
"1000",0.109
"1001",0.274
"1002",0.594
"1003",0.16
"1004",0.853
"1005",0.848
"1006",0.478
"1007",0.774
"1008",0.295
"1009",0.066
"1010",0.441
"1011",0.462
"1012",0.341
"1013",0.185
"1014",0.507
"1015",0.019
"1016",0.774
"1017",0.56
"1018",0.641
"1019",0.468
"1020",0.279
"1021",0.461
"1022",0.793
"1023",0.586
"1024",0.395
"1025",0.811
"1026",0.319
"1027",0.581
"1028",0.455
"1029",0.269
"1030",0.555
"1031",0.231
"1032",0.543
"1033",0.448
"1034",0.13
"1035",0.622
"1036",0.548
"1037",0.149
"1038",0.56
"1039",0.427
"1040",0.448
"1041",0.833
"1042",0.72
"1043",0.457
"1044",0.521
"1045",0.242
"1046",0.076
"1047",0.391
"1048",0.013
"1049",0.867
"1050",0.993
"1051",0.709
"1052",0.827
"1053",0.892
"1054",0.539
"1055",0.555
"1056",0.276
"1057",0.659
"1058",0.243
"1059",0.288
"1060",0.716
"1061",0.728
"1062",0.173
"1063",0.306
"1064",0.37
"1065",0.078
"1066",0.713
"1067",0.551
"1068",0.136
"1069",0.974
"1070",0.562
"1071",0.788
"1072",0.849
"1073",0.878
"1074",0.8
"1075",0.64
"1076",0.629
"1077",0.271
"1078",0.03
"1079",0.42
"1080",0.355
"1081",0.392
"1082",0.172
"1083",0.32
"1084",0.414
"1085",0.759
"1086",0.272
"1087",0.116
"1088",0.029
"1089",0.807
"1090",0.48
"1091",0.806
"1092",0.079
"1093",0.115
"1094",0.129
"1095",0.739
"1096",0.757
"1097",0.992
"1098",0.625
"1099",0.289
"1100",0.2
"1101",0.801
"1102",0.728
"1103",0.217
"1104",0.744
"1105",0.867
"1106",0.529
"1107",0.599
"1108",0.938
"1109",0.951
"1110",0.661
"1111",0.072
"1112",0.826
"1113",0.48
"1114",0.391
"1115",0.299
"1116",0.244
"1117",0.422
"1118",0.938
"1119",0.264
"1120",0.569
"1121",0.202
"1122",0.193
"1123",0.719
"1124",0.314
"1125",0.138
"1126",0.058
"1127",0.931
"1128",0.568
"1129",0.118
"1130",0.565
"1131",0.54
"1132",0.82
"1133",0.703
"1134",0.568
"1135",0.721
"1136",0.752
"1137",0.381
"1138",0.288
"1139",0.532
"1140",0.26
"1141",0.832
"1142",0.405
"1143",0.073
"1144",0.954
"1145",0.217
"1146",0.406
"1147",0.626
"1148",0.628
"1149",0.328
"1150",0.139
"1151",0.915
"1152",0.599
"1153",0.75
"1154",0.919
"1155",0.529
"1156",0.372
"1157",0.066
"1158",0.854
"1159",0.51
"1160",0.21
"1161",0.376
"1162",0.207
"1163",0.459
"1164",0.242
"1165",0.119
"1166",0.072
"1167",0.691
"1168",0.287
"1169",0.149
"1170",0.972
"1171",0.411
"1172",0.402
"1173",0.649
"1174",0.916
"1175",0.217
"1176",0.548
"1177",0.72
"1178",0.397
"1179",0.094
"1180",0.635
"1181",0.002
"1182",0.211
"1183",0.679
"1184",0.866
"1185",0.8
"1186",0.135
"1187",0.387
"1188",0.788
"1189",0.693
"1190",0.594
"1191",0.124
"1192",0.555
"1193",0.449
"1194",0.766
"1195",0.026
"1196",0.195
"1197",0.881
"1198",0.11
"1199",0.969
"1200",0.385
"1201",0.859
"1202",0.887
"1203",0.489
"1204",0.718
"1205",0.487
"1206",0.989
"1207",0.065
"1208",0.158
"1209",0.785
"1210",0.542
"1211",0.417
"1212",0.999
"1213",0.256
"1214",0.508
"1215",0.079
"1216",0.814
"1217",0.382
"1218",0.802
"1219",0.198
"1220",0.946
"1221",0.346
"1222",0.522
"1223",0.112
"1224",0.886
"1225",0.954
"1226",0.04
"1227",0.494
"1228",0.226
"1229",0.859
"1230",0.531
"1231",0.005
"1232",0.278
"1233",0.325
"1234",0.589
"1235",0.25
"1236",0.043
"1237",0.111
"1238",0.704
"1239",0.939
"1240",0.311
"1241",0.078
"1242",0.322
"1243",0.625
"1244",0.44
"1245",0.801
"1246",0.279
"1247",0.571
"1248",0.042
"1249",0.191
"1250",0.727
"1251",0.827
"1252",0.511
"1253",0.568
"1254",0.001
"1255",0.144
"1256",0.866
"1257",0.083
"1258",0.245
"1259",0.982
"1260",0.578
"1261",0.249
"1262",0.615
"1263",0.032
"1264",0.146
"1265",0.703
"1266",0.066
"1267",0.622
"1268",0.937
"1269",0.088
"1270",0.973
"1271",0.026
"1272",0.725
"1273",0.454
"1274",0.566
"1275",0.873
"1276",0.555
"1277",0.738
"1278",0.623
"1279",0.311
"1280",0.392
"1281",0.202
"1282",0.853
"1283",0.607
"1284",0.756
"1285",0.563
"1286",0.276
"1287",0.736
"1288",0.549
"1289",0.346
"1290",0.515
"1291",0.816
"1292",0.526
"1293",0.203
"1294",0.848
"1295",0.37
"1296",0.303
"1297",0.771
"1298",0.733
"1299",0.839
"1300",0.569
"1301",0.026
"1302",0.486
"1303",0.543
"1304",0.837
"1305",0.729
"1306",0.555
"1307",0.073
"1308",0.137
"1309",0.685
"1310",0.1
"1311",0.204
"1312",0.366
"1313",0.846
"1314",0.237
"1315",0.705
"1316",0.108
"1317",0.779
"1318",0.255
"1319",0.548
"1320",0.034
"1321",0.806
"1322",0.338
"1323",0.916
"1324",0.357
"1325",0.975
"1326",0.384
"1327",0.489
"1328",0.491
"1329",0.012
"1330",0.641
"1331",0.513
"1332",0.32
"1333",0.581
"1334",0.617
"1335",0.438
"1336",0.17
"1337",0.715
"1338",0.748
"1339",0.844
"1340",0.535
"1341",0.302
"1342",0.457
"1343",0.384
"1344",0.249
"1345",0.655
"1346",0.955
"1347",0.291
"1348",0.65
"1349",0.536
"1350",0.597
"1351",0.025
"1352",0.005
"1353",0.131
"1354",0.025
"1355",0.092
"1356",0.476
"1357",0.197
"1358",0.815
"1359",0.244
"1360",0.489
"1361",0.649
"1362",0.159
"1363",0.837
"1364",0.437
"1365",0.233
"1366",0.299
"1367",0.159
"1368",0.586
"1369",0.149
"1370",0.179
"1371",0.339
"1372",0.184
"1373",0.406
"1374",0.614
"1375",0.686
"1376",0.824
"1377",0.374
"1378",0.953
"1379",0.019
"1380",0.612
"1381",0.464
"1382",0.355
"1383",0.882
"1384",0.076
"1385",0.883
"1386",0.188
"1387",0.215
"1388",0.87
"1389",0.061
"1390",0.235
"1391",0.993
"1392",0.678
"1393",0.435
"1394",0.377
"1395",0.461
"1396",0.802
"1397",0.663
"1398",0.466
"1399",0.053
"1400",0.237
"1401",0.233
"1402",0.231
"1403",0.062
"1404",0.497
"1405",0.244
"1406",0.758
"1407",0.547
"1408",0.948
"1409",0.086
"1410",0.948
"1411",0.722
"1412",0.922
"1413",0.614
"1414",0.161
"1415",0.183
"1416",0.73
"1417",0.59
"1418",0.312
"1419",0.773
"1420",0.336
"1421",0.856
"1422",0.581
"1423",0.416
"1424",0.933
"1425",0.463
"1426",0.099
"1427",0.465
"1428",0.984
"1429",0.925
"1430",0.435
"1431",0.87
"1432",0.3
"1433",0.798
"1434",0.801
"1435",0.387
"1436",0.382
"1437",0.646
"1438",0.862
"1439",0.657
"1440",0.516
"1441",0.149
"1442",0.613
"1443",0.042
"1444",0.498
"1445",0.74
"1446",0.754
"1447",0.063
"1448",0.442
"1449",0.501
"1450",0.27
"1451",0.599
"1452",0.736
"1453",0.714
"1454",0.116
"1455",0.575
"1456",0.798
"1457",0.232
"1458",0.725
"1459",0.838
"1460",0.119
"1461",0.959
"1462",0.748
"1463",0.811
"1464",0.19
"1465",0.026
"1466",0.864
"1467",0.919
"1468",0.138
"1469",0.478
"1470",0.463
"1471",0.7
"1472",0.066
"1473",0.733
"1474",0.396
"1475",0.461
"1476",0.725
"1477",0.47
"1478",1
"1479",0.846
"1480",0.828
"1481",0.762
"1482",0.112
"1483",0.839
"1484",0.814
"1485",0.991
"1486",0.048
"1487",0.747
"1488",0.419
"1489",0.582
"1490",0.831
"1491",0.014
"1492",0.012
"1493",0.996
"1494",0.766
"1495",0.315
"1496",0.812
"1497",0.991
"1498",0.201
"1499",0.646
"1500",0.438
"1501",0.938
"1502",0.988
"1503",0.456
"1504",0.231
"1505",0.695
"1506",0.557
"1507",0.585
"1508",0.434
"1509",0.426
"1510",0.597
"1511",0.452
"1512",0.957
"1513",0.844
"1514",0.223
"1515",0.42
"1516",0.42
"1517",0.021
"1518",0.38
"1519",0.422
"1520",0.191
"1521",0.705
"1522",0.014
"1523",0.731
"1524",0.433
"1525",0.731
"1526",0.014
"1527",0.045
"1528",0.418
"1529",0.644
"1530",0.22
"1531",0.833
"1532",0.695
"1533",0.899
"1534",0.414
"1535",0.411
"1536",0.25
"1537",0.374
"1538",0.232
"1539",0.932
"1540",0.476
"1541",0.048
"1542",0.774
"1543",0.331
"1544",0.553
"1545",0.676
"1546",0.277
"1547",0.053
"1548",0.426
"1549",0.61
"1550",0.976
"1551",0.97
"1552",0.088
"1553",0.498
"1554",0.396
"1555",0.39
"1556",0.318
"1557",0.683
"1558",0.285
"1559",0.39
"1560",0.99
"1561",0.792
"1562",0.312
"1563",0.817
"1564",0.221
"1565",0.501
"1566",0.167
"1567",0.12
"1568",0.898
"1569",0.094
"1570",0.865
"1571",0.277
"1572",0.027
"1573",0.787
"1574",0.359
"1575",0.025
"1576",0.746
"1577",0.03
"1578",0.434
"1579",0.257
"1580",0.498
"1581",0.653
"1582",0.084
"1583",0.18
"1584",0.104
"1585",0.812
"1586",0.628
"1587",0.631
"1588",0.391
"1589",0.432
"1590",0.349
"1591",0.794
"1592",0.887
"1593",0.651
"1594",0.593
"1595",0.328
"1596",0.076
"1597",0.591
"1598",0.178
"1599",0.741
"1600",0.294
"1601",0.639
"1602",0.125
"1603",0.255
"1604",0.821
"1605",0.804
"1606",0.046
"1607",0.876
"1608",0.128
"1609",0.609
"1610",0.47
"1611",0.557
"1612",0.73
"1613",0.47
"1614",0.989
"1615",0.985
"1616",0.393
"1617",0.609
"1618",0.345
"1619",0.437
"1620",0.229
"1621",0.006
"1622",0.024
"1623",0.059
"1624",0.765
"1625",0.469
"1626",0.851
"1627",0.582
"1628",0.187
"1629",0.609
"1630",0.893
"1631",0.794
"1632",0.504
"1633",0.423
"1634",0.654
"1635",0.888
"1636",0.892
"1637",0.178
"1638",0.258
"1639",0.113
"1640",0.797
"1641",0.11
"1642",0.829
"1643",0.771
"1644",0.944
"1645",0.467
"1646",0.94
"1647",0.785
"1648",0.875
"1649",0.394
"1650",0.1
"1651",0.277
"1652",0.722
"1653",0.356
"1654",0.383
"1655",0.032
"1656",0.521
"1657",0.121
"1658",0.885
"1659",0.075
"1660",0.784
"1661",0.854
"1662",0.037
"1663",0.275
"1664",0.642
"1665",0.785
"1666",0.4
"1667",0.935
"1668",0.391
"1669",0.424
"1670",0.286
"1671",0.612
"1672",0.559
"1673",0.04
"1674",0.745
"1675",0.206
"1676",0.656
"1677",0.522
"1678",0.633
"1679",0.618
"1680",0.285
"1681",0.224
"1682",0.539
"1683",0.996
"1684",0.329
"1685",0.323
"1686",0.035
"1687",0.526
"1688",0.597
"1689",0.742
"1690",0.953
"1691",0.49
"1692",0.083
"1693",0.26
"1694",0.875
"1695",0.852
"1696",0.843
"1697",0.947
"1698",0.653
"1699",0.488
"1700",0.188
"1701",0.713
"1702",0.085
"1703",0.461
"1704",0.936
"1705",0.845
"1706",0.716
"1707",0.124
"1708",0.595
"1709",0.99
"1710",0.615
"1711",0.273
"1712",0.064
"1713",0.072
"1714",0.874
"1715",0.363
"1716",0.946
"1717",0.558
"1718",0.513
"1719",0.948
"1720",0.11
"1721",0.819
"1722",0.377
"1723",0.557
"1724",0.314
"1725",0.082
"1726",0.78
"1727",0.193
"1728",0.656
"1729",0.435
"1730",0.197
"1731",0.995
"1732",0.447
"1733",0.031
"1734",0.937
"1735",0.871
"1736",0.601
"1737",0.299
"1738",0.809
"1739",0.952
"1740",0.852
"1741",0.127
"1742",0.969
"1743",0.557
"1744",0.005
"1745",0.136
"1746",0.006
"1747",0.817
"1748",0.782
"1749",0.931
"1750",0.369
"1751",0.974
"1752",0.824
"1753",0.787
"1754",0.623
"1755",0.967
"1756",0.5
"1757",0.894
"1758",0.401
"1759",0.448
"1760",0.936
"1761",0.683
"1762",0.018
"1763",0.166
"1764",0.496
"1765",0.427
"1766",0.992
"1767",0.889
"1768",0.346
"1769",0.706
"1770",0.909
"1771",0.676
"1772",0.639
"1773",0.15
"1774",0.601
"1775",0.273
"1776",0.458
"1777",0.222
"1778",0.255
"1779",0.654
"1780",0.472
"1781",0.161
"1782",0.272
"1783",0.713
"1784",0.613
"1785",0.132
"1786",0.07
"1787",0.966
"1788",0.368
"1789",0.677
"1790",0.846
"1791",0.242
"1792",0.035
"1793",0.595
"1794",0.836
"1795",0.362
"1796",0.332
"1797",0.645
"1798",0.959
"1799",0.596
"1800",0.51
"1801",0.155
"1802",0.846
"1803",0.214
"1804",0.67
"1805",0.618
"1806",0.05
"1807",0.949
"1808",0.583
"1809",0.861
"1810",0.518
"1811",0.266
"1812",0.597
"1813",0.796
"1814",0.689
"1815",0.481
"1816",0.466
"1817",0.618
"1818",0.449
"1819",0.603
"1820",0.005
"1821",0.995
"1822",0.406
"1823",0.118
"1824",0.87
"1825",0.54
"1826",0.882
"1827",0.038
"1828",0.881
"1829",0.722
"1830",0.77
"1831",0.864
"1832",0.501
"1833",0.926
"1834",0.208
"1835",0.027
"1836",0.316
"1837",0.66
"1838",0.315
"1839",0.944
"1840",0.779
"1841",0.339
"1842",0.482
"1843",0.416
"1844",0.776
"1845",0.485
"1846",0.015
"1847",0.642
"1848",0.235
"1849",0.747
"1850",0.296
"1851",0.906
"1852",0.853
"1853",0.462
"1854",0.071
"1855",0.578
"1856",0.58
"1857",0.994
"1858",0.335
"1859",0.667
"1860",0.939
"1861",0.575
"1862",0.692
"1863",0.09
"1864",0.866
"1865",0.501
"1866",0.223
"1867",0.412
"1868",0.886
"1869",0.496
"1870",0.673
"1871",0.283
"1872",0.817
"1873",0.246
