"","p0q0"
"217",0.182
"218",0.232
"219",0.25
"220",0.206
"221",0.223
"222",0.239
"223",0.229
"224",0.24
"225",0.214
"226",0.233
"227",0.229
"228",0.216
"229",0.227
"230",0.229
"231",0.214
"232",0.233
"233",0.201
"234",0.204
"235",0.213
"236",0.213
"237",0.21
"238",0.218
"239",0.209
"240",0.207
"241",0.234
"242",0.223
"243",0.225
"244",0.218
"245",0.207
"246",0.204
"247",0.196
"248",0.175
"249",0.199
"250",0.199
"251",0.208
"252",0.226
"253",0.166
"254",0.19
"255",0.236
"256",0.216
"257",0.2
"258",0.196
"259",0.185
"260",0.187
"261",0.222
"262",0.234
"263",0.213
"264",0.206
"265",0.201
"266",0.174
"267",0.187
"268",0.203
"269",0.203
"270",0.204
"271",0.2
"272",0.191
"273",0.196
"274",0.185
"275",0.169
"276",0.193
"277",0.2
"278",0.175
"279",0.193
"280",0.211
"281",0.197
"282",0.212
"283",0.184
"284",0.201
"285",0.197
"286",0.177
"287",0.216
"288",0.199
"289",0.197
"290",0.203
"291",0.138
"292",0.152
"293",0.153
"294",0.152
"295",0.147
"296",0.154
"297",0.14
"298",0.141
"299",0.149
"300",0.151
"301",0.15
"302",0.156
"303",0.15
"304",0.142
"305",0.139
"306",0.129
"307",0.145
"308",0.139
"309",0.143
"310",0.163
"311",0.119
"312",0.132
"313",0.154
"314",0.149
"315",0.135
"316",0.132
"317",0.122
"318",0.127
"319",0.153
"320",0.163
"321",0.148
"322",0.148
"323",0.146
"324",0.127
"325",0.137
"326",0.149
"327",0.145
"328",0.144
"329",0.138
"330",0.142
"331",0.14
"332",0.125
"333",0.121
"334",0.129
"335",0.139
"336",0.12
"337",0.131
"338",0.153
"339",0.143
"340",0.137
"341",0.132
"342",0.144
"343",0.139
"344",0.138
"345",0.158
"346",0.148
"347",0.143
"348",0.15
"349",0.091
"350",0.106
"351",0.111
"352",0.108
"353",0.096
"354",0.106
"355",0.094
"356",0.104
"357",0.111
"358",0.102
"359",0.113
"360",0.117
"361",0.11
"362",0.1
"363",0.097
"364",0.095
"365",0.095
"366",0.095
"367",0.102
"368",0.117
"369",0.084
"370",0.094
"371",0.1
"372",0.109
"373",0.089
"374",0.088
"375",0.086
"376",0.1
"377",0.101
"378",0.111
"379",0.102
"380",0.099
"381",0.101
"382",0.097
"383",0.096
"384",0.11
"385",0.104
"386",0.1
"387",0.097
"388",0.103
"389",0.098
"390",0.091
"391",0.089
"392",0.087
"393",0.095
"394",0.082
"395",0.094
"396",0.101
"397",0.101
"398",0.094
"399",0.1
"400",0.087
"401",0.1
"402",0.094
"403",0.119
"404",0.105
"405",0.1
"406",0.102
"407",0.045
"408",0.044
"409",0.061
"410",0.042
"411",0.043
"412",0.045
"413",0.042
"414",0.04
"415",0.054
"416",0.037
"417",0.043
"418",0.038
"419",0.052
"420",0.039
"421",0.053
"422",0.044
"423",0.043
"424",0.047
"425",0.047
"426",0.044
"427",0.038
"428",0.047
"429",0.04
"430",0.057
"431",0.037
"432",0.04
"433",0.04
"434",0.045
"435",0.053
"436",0.062
"437",0.046
"438",0.054
"439",0.038
"440",0.049
"441",0.053
"442",0.06
"443",0.048
"444",0.045
"445",0.049
"446",0.052
"447",0.047
"448",0.046
"449",0.042
"450",0.039
"451",0.041
"452",0.04
"453",0.042
"454",0.048
"455",0.046
"456",0.044
"457",0.05
"458",0.037
"459",0.041
"460",0.047
"461",0.052
"462",0.049
"463",0.042
"464",0.054
"465",0.282
"466",0.261
"467",0.249
"468",0.273
"469",0.309
"470",0.265
"471",0.262
"472",0.247
"473",0.665
"474",0.264
"475",0.24
"476",0.318
"477",0.254
"478",0.244
"479",0.265
"480",0.244
"481",0.316
"482",0.261
"483",0.253
"484",0.338
"485",0.204
"486",0.268
"487",0.27
"488",0.293
"489",0.273
"490",0.238
"491",0.283
"492",0.268
"493",0.318
"494",0.235
"495",0.267
"496",0.276
"497",0.3
"498",0.274
"499",0.242
"500",0.233
"501",0.268
"502",0.251
"503",0.252
"504",0.216
"505",0.255
"506",0.24
"507",0.223
"508",0.303
"509",0.283
"510",0.205
"511",0.23
"512",0.236
"513",0.23
"514",0.228
"515",0.243
"516",0.284
"517",0.246
"518",0.22
"519",0.255
"520",0.247
"521",0.22
"522",0.222
"523",0.068
"524",0.069
"525",0.085
"526",0.068
"527",0.065
"528",0.067
"529",0.07
"530",0.063
"531",0.075
"532",0.056
"533",0.081
"534",0.072
"535",0.077
"536",0.062
"537",0.071
"538",0.072
"539",0.066
"540",0.067
"541",0.073
"542",0.066
"543",0.059
"544",0.062
"545",0.065
"546",0.074
"547",0.054
"548",0.058
"549",0.056
"550",0.068
"551",0.072
"552",0.079
"553",0.069
"554",0.07
"555",0.06
"556",0.061
"557",0.069
"558",0.08
"559",0.066
"560",0.065
"561",0.068
"562",0.072
"563",0.068
"564",0.066
"565",0.059
"566",0.061
"567",0.062
"568",0.052
"569",0.061
"570",0.067
"571",0.061
"572",0.065
"573",0.068
"574",0.059
"575",0.062
"576",0.066
"577",0.08
"578",0.07
"579",0.07
"580",0.07
"581",0.084
"582",0.096
"583",0.104
"584",0.093
"585",0.085
"586",0.092
"587",0.086
"588",0.088
"589",0.095
"590",0.082
"591",0.1
"592",0.099
"593",0.097
"594",0.086
"595",0.085
"596",0.086
"597",0.087
"598",0.086
"599",0.089
"600",0.094
"601",0.074
"602",0.079
"603",0.087
"604",0.096
"605",0.078
"606",0.081
"607",0.074
"608",0.085
"609",0.091
"610",0.097
"611",0.09
"612",0.081
"613",0.087
"614",0.087
"615",0.082
"616",0.096
"617",0.085
"618",0.086
"619",0.086
"620",0.089
"621",0.085
"622",0.084
"623",0.08
"624",0.081
"625",0.087
"626",0.072
"627",0.081
"628",0.085
"629",0.085
"630",0.081
"631",0.086
"632",0.079
"633",0.091
"634",0.088
"635",0.102
"636",0.091
"637",0.089
"638",0.089
"639",0.308
"640",0.322
"641",0.3
"642",0.351
"643",0.307
"644",0.285
"645",0.269
"646",0.268
"647",0.33
"648",0.408
"649",0.357
"650",0.371
"651",0.332
"652",0.37
"653",0.337
"654",0.269
"655",0.356
"656",0.401
"657",0.697
"658",0.414
"659",0.285
"660",0.289
"661",0.344
"662",0.302
"663",0.382
"664",0.215
"665",0.283
"666",0.359
"667",0.333
"668",0.354
"669",0.347
"670",0.296
"671",0.337
"672",0.42
"673",0.297
"674",0.337
"675",0.486
"676",0.362
"677",0.316
"678",0.315
"679",0.316
"680",0.39
"681",0.312
"682",0.335
"683",0.284
"684",0.306
"685",0.312
"686",0.384
"687",0.289
"688",0.324
"689",0.285
"690",0.475
"691",0.338
"692",0.332
"693",0.341
"694",0.291
"695",0.447
"696",0.343
"697",0.396
"698",0.338
"699",0.44
"700",0.351
"701",0.303
"702",0.314
"703",0.305
"704",0.409
"705",0.366
"706",0.397
"707",0.436
"708",0.369
"709",0.458
"710",0.377
"711",0.316
"712",0.465
"713",0.352
"714",0.593
"715",0.452
"716",0.403
"717",0.368
"718",0.413
"719",0.353
"720",0.371
"721",0.338
"722",0.369
"723",0.445
"724",0.425
"725",0.461
"726",0.43
"727",0.37
"728",0.402
"729",0.462
"730",0.393
"731",0.409
"732",0.452
"733",0.408
"734",0.354
"735",0.454
"736",0.413
"737",0.42
"738",0.362
"739",0.372
"740",0.403
"741",0.386
"742",0.376
"743",0.441
"744",0.359
"745",0.311
"746",0.474
"747",0.42
"748",0.407
"749",0.42
"750",0.348
"751",0.495
"752",0.336
"753",0.383
"754",0.345
"755",0.445
"756",0.339
"757",0.306
"758",0.347
"759",0.301
"760",0.409
"761",0.409
"762",0.391
"763",0.423
"764",0.357
"765",0.46
"766",0.366
"767",0.306
"768",0.467
"769",0.355
"770",0.631
"771",0.447
"772",0.406
"773",0.366
"774",0.416
"775",0.361
"776",0.365
"777",0.347
"778",0.363
"779",0.456
"780",0.431
"781",0.452
"782",0.42
"783",0.357
"784",0.398
"785",0.471
"786",0.386
"787",0.413
"788",0.479
"789",0.407
"790",0.354
"791",0.451
"792",0.408
"793",0.419
"794",0.357
"795",0.367
"796",0.41
"797",0.381
"798",0.384
"799",0.43
"800",0.354
"801",0.315
"802",0.466
"803",0.424
"804",0.396
"805",0.437
"806",0.341
"807",0.5
"808",0.296
"809",0.339
"810",0.279
"811",0.363
"812",0.305
"813",0.271
"814",0.268
"815",0.268
"816",0.332
"817",0.348
"818",0.336
"819",0.373
"820",0.319
"821",0.399
"822",0.326
"823",0.277
"824",0.377
"825",0.329
"826",0.559
"827",0.383
"828",0.309
"829",0.292
"830",0.34
"831",0.303
"832",0.336
"833",0.269
"834",0.292
"835",0.377
"836",0.349
"837",0.375
"838",0.342
"839",0.322
"840",0.344
"841",0.414
"842",0.293
"843",0.335
"844",0.43
"845",0.342
"846",0.315
"847",0.373
"848",0.34
"849",0.37
"850",0.306
"851",0.328
"852",0.319
"853",0.31
"854",0.322
"855",0.354
"856",0.29
"857",0
"858",0.265
"859",0.406
"860",0.342
"861",0.335
"862",0.374
"863",0.289
"864",0.374
"865",0.296
"866",0.31
"867",0.289
"868",0.351
"869",0.296
"870",0.265
"871",0.267
"872",0.266
"873",0.313
"874",0.399
"875",0.334
"876",0.352
"877",0.307
"878",0.364
"879",0.329
"880",0.266
"881",0.344
"882",0.39
"883",0.623
"884",0.388
"885",0.279
"886",0.272
"887",0.331
"888",0.288
"889",0.367
"890",0.203
"891",0.286
"892",0.346
"893",0.325
"894",0.338
"895",0.341
"896",0.294
"897",0.32
"898",0.379
"899",0.278
"900",0.318
"901",0.432
"902",0.358
"903",0.313
"904",0.296
"905",0.29
"906",0.376
"907",0.309
"908",0.316
"909",0.262
"910",0.287
"911",0.3
"912",0.373
"913",0.27
"914",0.305
"915",0.285
"916",0.46
"917",0.322
"918",0.308
"919",0.312
"920",0.273
"921",0.427
"922",0.203
"923",0.213
"924",0.194
"925",0.243
"926",0.223
"927",0.184
"928",0.18
"929",0.188
"930",0.22
"931",0.274
"932",0.232
"933",0.242
"934",0.204
"935",0.261
"936",0.228
"937",0.176
"938",0.232
"939",0.268
"940",0.411
"941",0.261
"942",0.187
"943",0.185
"944",0.225
"945",0.195
"946",0.273
"947",0.15
"948",0.205
"949",0.249
"950",0.204
"951",0.231
"952",0.23
"953",0.191
"954",0.215
"955",0.258
"956",0.195
"957",0.214
"958",0.266
"959",0.241
"960",0.22
"961",0.214
"962",0.207
"963",0.293
"964",0.216
"965",0.218
"966",0.185
"967",0.187
"968",0.207
"969",0.279
"970",0.191
"971",0.243
"972",0.194
"973",0.334
"974",0.22
"975",0.203
"976",0.206
"977",0.184
"978",0.285
"979",0.148
"980",0.159
"981",0.14
"982",0.177
"983",0.158
"984",0.144
"985",0.124
"986",0.13
"987",0.158
"988",0.206
"989",0.18
"990",0.164
"991",0.148
"992",0.182
"993",0.159
"994",0.126
"995",0.163
"996",0.223
"997",0.247
"998",0.208
"999",0.141
"1000",0.129
"1001",0.158
"1002",0.136
"1003",0.217
"1004",0.132
"1005",0.151
"1006",0.18
"1007",0.148
"1008",0.17
"1009",0.162
"1010",0.118
"1011",0.164
"1012",0.191
"1013",0.139
"1014",0.147
"1015",0.163
"1016",0.172
"1017",0.156
"1018",0.152
"1019",0.148
"1020",0.232
"1021",0.145
"1022",0.167
"1023",0.136
"1024",0.132
"1025",0.155
"1026",0.226
"1027",0.14
"1028",0.163
"1029",0.135
"1030",0.219
"1031",0.159
"1032",0.152
"1033",0.151
"1034",0.146
"1035",0.217
"1036",0.071
"1037",0.076
"1038",0.065
"1039",0.07
"1040",0.07
"1041",0.061
"1042",0.05
"1043",0.048
"1044",0.068
"1045",0.094
"1046",0.079
"1047",0.061
"1048",0.076
"1049",0.079
"1050",0.066
"1051",0.057
"1052",0.074
"1053",0.092
"1054",0.101
"1055",0.091
"1056",0.054
"1057",0.055
"1058",0.053
"1059",0.055
"1060",0.099
"1061",0.07
"1062",0.056
"1063",0.079
"1064",0.077
"1065",0.072
"1066",0.069
"1067",0.056
"1068",0.075
"1069",0.095
"1070",0.063
"1071",0.059
"1072",0.056
"1073",0.077
"1074",0.07
"1075",0.087
"1076",0.058
"1077",0.128
"1078",0.069
"1079",0.088
"1080",0.053
"1081",0.051
"1082",0.068
"1083",0.094
"1084",0.066
"1085",0.069
"1086",0.054
"1087",0.086
"1088",0.072
"1089",0.065
"1090",0.061
"1091",0.066
"1092",0.086
"1093",0.29
"1094",0.334
"1095",0.331
"1096",0.407
"1097",0.294
"1098",0.279
"1099",0.315
"1100",0.283
"1101",0.367
"1102",0.372
"1103",0.371
"1104",0.364
"1105",0.319
"1106",0.424
"1107",0.311
"1108",0.279
"1109",0.414
"1110",0.328
"1111",0.53
"1112",0.407
"1113",0.381
"1114",0.321
"1115",0.357
"1116",0.337
"1117",0.322
"1118",0.316
"1119",0.327
"1120",0.444
"1121",0.388
"1122",0.392
"1123",0.379
"1124",0.306
"1125",0.349
"1126",0.428
"1127",0.364
"1128",0.376
"1129",0.416
"1130",0.367
"1131",0.318
"1132",0.386
"1133",0.466
"1134",0.379
"1135",0.318
"1136",0.332
"1137",0.375
"1138",0.336
"1139",0.339
"1140",0.381
"1141",0.314
"1142",0.279
"1143",0.415
"1144",0.386
"1145",0.358
"1146",0.388
"1147",0.31
"1148",0.447
"1149",0.1
"1150",0.114
"1151",0.091
"1152",0.116
"1153",0.103
"1154",0.099
"1155",0.078
"1156",0.074
"1157",0.1
"1158",0.131
"1159",0.111
"1160",0.097
"1161",0.104
"1162",0.117
"1163",0.098
"1164",0.087
"1165",0.104
"1166",0.131
"1167",0.137
"1168",0.131
"1169",0.088
"1170",0.088
"1171",0.095
"1172",0.083
"1173",0.148
"1174",0.098
"1175",0.088
"1176",0.117
"1177",0.107
"1178",0.106
"1179",0.099
"1180",0.083
"1181",0.113
"1182",0.132
"1183",0.094
"1184",0.088
"1185",0.093
"1186",0.107
"1187",0.104
"1188",0.113
"1189",0.092
"1190",0.168
"1191",0.107
"1192",0.126
"1193",0.087
"1194",0.081
"1195",0.1
"1196",0.144
"1197",0.097
"1198",0.099
"1199",0.088
"1200",0.131
"1201",0.102
"1202",0.099
"1203",0.091
"1204",0.098
"1205",0.126
"1206",0.123
"1207",0.136
"1208",0.114
"1209",0.148
"1210",0.132
"1211",0.124
"1212",0.095
"1213",0.111
"1214",0.125
"1215",0.161
"1216",0.152
"1217",0.134
"1218",0.124
"1219",0.144
"1220",0.131
"1221",0.112
"1222",0.134
"1223",0.174
"1224",0.188
"1225",0.168
"1226",0.114
"1227",0.108
"1228",0.124
"1229",0.11
"1230",0.184
"1231",0.115
"1232",0.118
"1233",0.149
"1234",0.127
"1235",0.145
"1236",0.127
"1237",0.099
"1238",0.139
"1239",0.161
"1240",0.117
"1241",0.12
"1242",0.124
"1243",0.14
"1244",0.128
"1245",0.138
"1246",0.121
"1247",0.197
"1248",0.128
"1249",0.146
"1250",0.107
"1251",0.108
"1252",0.127
"1253",0.184
"1254",0.109
"1255",0.125
"1256",0.113
"1257",0.174
"1258",0.125
"1259",0.125
"1260",0.129
"1261",0.123
"1262",0.162
"1263",0.222
"1264",0.2
"1265",0.206
"1266",0.229
"1267",0.218
"1268",0.223
"1269",0.219
"1270",0.243
"1271",0.223
"1272",0.249
"1273",0.254
"1274",0.377
"1275",0.318
"1276",0.249
"1277",0.214
"1278",0.239
"1279",0.272
"1280",0.215
"1281",0.218
"1282",0.22
"1283",0.201
"1284",0.362
"1285",0.238
"1286",0.224
"1287",0.224
"1288",0.222
"1289",0.169
"1290",0.209
"1291",0.213
"1292",0.196
"1293",0.239
"1294",0.221
"1295",0.208
"1296",0.213
"1297",0.237
"1298",0.223
"1299",0.187
"1300",0.32
"1301",0.198
"1302",0.259
"1303",0.216
"1304",0.257
"1305",0.239
"1306",0.24
"1307",0.217
"1308",0.234
"1309",0.137
"1310",0.203
"1311",0.357
"1312",0.224
"1313",0.211
"1314",0.217
"1315",0.227
"1316",0.221
"1317",0.233
"1318",0.191
"1319",0.233
"1320",0.239
"1321",0.221
"1322",0.292
"1323",0.26
"1324",0.264
"1325",0.275
"1326",0.308
"1327",0.225
"1328",0.306
"1329",0.3
"1330",0.43
"1331",0.33
"1332",0.294
"1333",0.254
"1334",0.281
"1335",0.325
"1336",0.266
"1337",0.255
"1338",0.252
"1339",0.259
"1340",0.408
"1341",0.287
"1342",0.261
"1343",0.258
"1344",0.261
"1345",0.189
"1346",0.292
"1347",0.263
"1348",0.238
"1349",0.297
"1350",0.274
"1351",0.262
"1352",0.249
"1353",0.289
"1354",0.235
"1355",0.236
"1356",0.398
"1357",0.248
"1358",0.267
"1359",0.278
"1360",0.318
"1361",0.262
"1362",0.273
"1363",0.277
"1364",0.279
"1365",0.363
"1366",0.252
"1367",0.358
"1368",0.287
"1369",0.246
"1370",0.231
"1371",0.315
"1372",0.388
"1373",0.227
"1374",0.231
"1375",0.229
"1376",0.246
"1377",0.211
"1378",0.303
"1379",0.254
"1380",0.263
"1381",0.278
"1382",0.307
"1383",0.246
"1384",0.304
"1385",0.305
"1386",0.423
"1387",0.345
"1388",0.293
"1389",0.248
"1390",0.28
"1391",0.326
"1392",0.262
"1393",0.248
"1394",0.245
"1395",0.255
"1396",0.435
"1397",0.279
"1398",0.251
"1399",0.265
"1400",0.267
"1401",0.186
"1402",0.284
"1403",0.261
"1404",0.239
"1405",0.301
"1406",0.265
"1407",0.258
"1408",0.243
"1409",0.285
"1410",0.236
"1411",0.236
"1412",0.403
"1413",0.249
"1414",0.268
"1415",0.286
"1416",0.311
"1417",0.258
"1418",0.273
"1419",0.314
"1420",0.28
"1421",0.35
"1422",0.254
"1423",0.357
"1424",0.286
"1425",0.244
"1426",0.24
"1427",0.321
"1428",0.387
"1429",0.245
"1430",0.233
"1431",0.211
"1432",0.206
"1433",0.207
"1434",0.238
"1435",0.238
"1436",0.229
"1437",0.238
"1438",0.251
"1439",0.2
"1440",0.265
"1441",0.26
"1442",0.357
"1443",0.302
"1444",0.262
"1445",0.224
"1446",0.247
"1447",0.298
"1448",0.214
"1449",0.23
"1450",0.227
"1451",0.216
"1452",0.376
"1453",0.243
"1454",0.241
"1455",0.234
"1456",0.207
"1457",0.163
"1458",0.249
"1459",0.227
"1460",0.21
"1461",0.271
"1462",0.222
"1463",0.218
"1464",0.223
"1465",0.261
"1466",0.22
"1467",0.197
"1468",0.341
"1469",0.205
"1470",0.257
"1471",0.223
"1472",0.29
"1473",0.224
"1474",0.242
"1475",0.224
"1476",0.246
"1477",0.347
"1478",0.217
"1479",0.32
"1480",0.23
"1481",0.219
"1482",0.198
"1483",0.256
"1484",0.267
"1485",0.217
"1486",0.202
"1487",0.208
"1488",0.185
"1489",0.199
"1490",0.214
"1491",0.206
"1492",0.212
"1493",0.201
"1494",0.226
"1495",0.206
"1496",0.235
"1497",0.223
"1498",0.359
"1499",0.292
"1500",0.235
"1501",0.194
"1502",0.22
"1503",0.252
"1504",0.201
"1505",0.21
"1506",0.202
"1507",0.183
"1508",0.348
"1509",0.216
"1510",0.216
"1511",0.203
"1512",0.204
"1513",0.15
"1514",0.191
"1515",0.201
"1516",0.183
"1517",0.217
"1518",0.208
"1519",0.196
"1520",0.205
"1521",0.219
"1522",0.209
"1523",0.177
"1524",0.296
"1525",0.18
"1526",0.243
"1527",0.201
"1528",0.247
"1529",0.227
"1530",0.228
"1531",0.208
"1532",0.218
"1533",0.126
"1534",0.193
"1535",0.324
"1536",0.213
"1537",0.194
"1538",0.208
"1539",0.206
"1540",0.204
"1541",0.217
"1542",0.182
"1543",0.151
"1544",0.136
"1545",0.146
"1546",0.158
"1547",0.158
"1548",0.168
"1549",0.146
"1550",0.174
"1551",0.159
"1552",0.177
"1553",0.17
"1554",0.286
"1555",0.21
"1556",0.174
"1557",0.143
"1558",0.174
"1559",0.194
"1560",0.153
"1561",0.154
"1562",0.142
"1563",0.142
"1564",0.287
"1565",0.173
"1566",0.165
"1567",0.145
"1568",0.155
"1569",0.12
"1570",0.147
"1571",0.152
"1572",0.133
"1573",0.158
"1574",0.149
"1575",0.156
"1576",0.16
"1577",0.175
"1578",0.155
"1579",0.143
"1580",0.213
"1581",0.132
"1582",0.18
"1583",0.158
"1584",0.196
"1585",0.17
"1586",0.169
"1587",0.142
"1588",0.172
"1589",0.098
"1590",0.149
"1591",0.214
"1592",0.183
"1593",0.145
"1594",0.154
"1595",0.15
"1596",0.162
"1597",0.162
"1598",0.132
"1599",0.115
"1600",0.105
"1601",0.114
"1602",0.13
"1603",0.13
"1604",0.132
"1605",0.119
"1606",0.14
"1607",0.119
"1608",0.129
"1609",0.138
"1610",0.228
"1611",0.165
"1612",0.153
"1613",0.118
"1614",0.143
"1615",0.148
"1616",0.122
"1617",0.134
"1618",0.126
"1619",0.112
"1620",0.237
"1621",0.145
"1622",0.13
"1623",0.119
"1624",0.12
"1625",0.088
"1626",0.117
"1627",0.13
"1628",0.108
"1629",0.138
"1630",0.114
"1631",0.118
"1632",0.109
"1633",0.151
"1634",0.12
"1635",0.117
"1636",0.183
"1637",0.107
"1638",0.139
"1639",0.126
"1640",0.158
"1641",0.129
"1642",0.132
"1643",0.117
"1644",0.14
"1645",0.086
"1646",0.116
"1647",0.151
"1648",0.156
"1649",0.106
"1650",0.118
"1651",0.117
"1652",0.142
"1653",0.14
"1654",0.1
"1655",0.068
"1656",0.06
"1657",0.066
"1658",0.078
"1659",0.085
"1660",0.079
"1661",0.077
"1662",0.066
"1663",0.07
"1664",0.072
"1665",0.078
"1666",0.171
"1667",0.08
"1668",0.077
"1669",0.06
"1670",0.07
"1671",0.093
"1672",0.073
"1673",0.078
"1674",0.082
"1675",0.069
"1676",0.121
"1677",0.075
"1678",0.066
"1679",0.06
"1680",0.078
"1681",0.05
"1682",0.075
"1683",0.073
"1684",0.056
"1685",0.082
"1686",0.066
"1687",0.061
"1688",0.065
"1689",0.074
"1690",0.072
"1691",0.071
"1692",0.139
"1693",0.059
"1694",0.078
"1695",0.075
"1696",0.097
"1697",0.08
"1698",0.089
"1699",0.067
"1700",0.084
"1701",0.055
"1702",0.07
"1703",0.102
"1704",0.106
"1705",0.064
"1706",0.064
"1707",0.069
"1708",0.096
"1709",0.086
"1710",0.065
"1711",0.209
"1712",0.231
"1713",0.188
"1714",0.285
"1715",0.261
"1716",0.239
"1717",0.256
"1718",0.287
"1719",0.251
"1720",0.286
"1721",0.301
"1722",0.369
"1723",0.326
"1724",0.252
"1725",0.233
"1726",0.261
"1727",0.299
"1728",0.256
"1729",0.225
"1730",0.225
"1731",0.25
"1732",0.423
"1733",0.266
"1734",0.227
"1735",0.255
"1736",0.247
"1737",0.215
"1738",0.266
"1739",0.251
"1740",0.227
"1741",0.272
"1742",0.238
"1743",0.225
"1744",0.221
"1745",0.264
"1746",0.219
"1747",0.223
"1748",0.592
"1749",0.232
"1750",0.245
"1751",0.286
"1752",0.284
"1753",0.23
"1754",0.25
"1755",0.317
"1756",0.253
"1757",0.305
"1758",0.243
"1759",0.288
"1760",0.266
"1761",0.238
"1762",0.239
"1763",0.298
"1764",0.357
"1765",0.246
"1766",0.235
"1767",0.093
"1768",0.077
"1769",0.089
"1770",0.092
"1771",0.11
"1772",0.099
"1773",0.093
"1774",0.088
"1775",0.093
"1776",0.101
"1777",0.19
"1778",0.105
"1779",0.101
"1780",0.085
"1781",0.098
"1782",0.118
"1783",0.093
"1784",0.099
"1785",0.106
"1786",0.086
"1787",0.163
"1788",0.093
"1789",0.093
"1790",0.086
"1791",0.093
"1792",0.067
"1793",0.092
"1794",0.096
"1795",0.08
"1796",0.106
"1797",0.081
"1798",0.086
"1799",0.085
"1800",0.12
"1801",0.093
"1802",0.091
"1803",0.156
"1804",0.082
"1805",0.105
"1806",0.099
"1807",0.121
"1808",0.103
"1809",0.11
"1810",0.085
"1811",0.108
"1812",0.073
"1813",0.092
"1814",0.123
"1815",0.131
"1816",0.087
"1817",0.089
"1818",0.088
"1819",0.116
"1820",0.111
"1821",0.081
"1822",0.105
"1823",0.095
"1824",0.105
"1825",0.114
"1826",0.124
"1827",0.119
"1828",0.103
"1829",0.13
"1830",0.1
"1831",0.113
"1832",0.121
"1833",0.206
"1834",0.132
"1835",0.118
"1836",0.102
"1837",0.116
"1838",0.132
"1839",0.104
"1840",0.112
"1841",0.113
"1842",0.1
"1843",0.197
"1844",0.12
"1845",0.118
"1846",0.106
"1847",0.111
"1848",0.076
"1849",0.104
"1850",0.115
"1851",0.092
"1852",0.122
"1853",0.1
"1854",0.103
"1855",0.097
"1856",0.134
"1857",0.103
"1858",0.108
"1859",0.171
"1860",0.097
"1861",0.121
"1862",0.115
"1863",0.14
"1864",0.112
"1865",0.118
"1866",0.099
"1867",0.123
"1868",0.081
"1869",0.102
"1870",0.139
"1871",0.147
"1872",0.097
"1873",0.101
